,"Razão Social","Nome do Laboratório","Situação","Endereço","Bairro","CEP","Cidade","UF","Telefone","Fax","Grupo de Serviço de Calibração","Gerente tecnico","Email"
837,"Metroval Controle de Fluidos","Laboratório de Calibração Metroval Macaé","
										Ativo                                    ","
										Rua Albacora, 250                                    ","
										Novo Cavaleiros                                    ","
										27910000                                    ","
										Macaé                                    ","
										RJ                                    ","
										(22) 2105.7229                                    ","
","TEMPERATURA E UMIDADE","
										Victor Garcia
                                    ","victor@metrovalmacae.com.br"
838,"HIRSA SISTEMAS DE AUTOMAÇÃO E CONTROLE LTDA","HIRSA SISTEMAS DE AUTOMAÇÃO E CONTROLE LTDA","
										Ativo                                    ","
										AV. CORONEL LUIS OLIVEIRA SAMPAIO, 195                                    ","
										JARDIM GUANABARA                                    ","
										21931010                                    ","
										RIO DE JANEIRO                                    ","
										RJ                                    ","
										(21) 2467.9200                                    ","
										(21) 2467.9230                                    ","TEMPERATURA E UMIDADE","
										SANDRO CORDEIRO
                                    ","scordeiro@hirsa.com.br"
839,"WASP COMÉRCIO E IMPORTAÇÃO DE INSTRUMENTOS DE LABORATÓRIOS LTDA","Wasp Metrológica","
										Ativo                                    ","
										RUA TIRADENTES, 367 SALA 01                                    ","
										CENTRO                                    ","
										13400760                                    ","
										Piracicaba                                    ","
										SP                                    ","
										(19) 3426.1151                                    ","
","TEMPERATURA E UMIDADE","
										Everton Ricardo Thomé
                                    ","everton@wasp.com.br"
840,"Fluxo Eletrônica Industrial Ltda","Laboratório de Calibração - LABCALI","
										Ativo                                    ","
										Avenida Nereu Ramos, 3.190/E                                    ","
										Líder                                    ","
										89805103                                    ","
										Chapecó                                    ","
										SC                                    ","
										(49) 2049.6200                                    ","
","TEMPERATURA E UMIDADE","
										Alexandre Leandro Basei
                                    ","alexandre@fluxo.ind.br"
841,"Medical Center Metrologia Eireli EPP","Laboratório Medical Center","
										Ativo                                    ","
										Avenida SETE SETEMBRO ,2869                                    ","
										CENTRO                                    ","
										76963851                                    ","
										CACOAL                                    ","
										RO                                    ","
										(69) 3441.4721                                    ","
","TEMPERATURA E UMIDADE","
										DEYVID PAIXÃO CALOU DE OLIVEIRA
                                    ","LMCQUALIDADE@MEDICALCENTER.NET.BR"
842,"INFRATEMP INSTRUMENTOS DE MEDIÇÃO E CONTROLE LTDA.","INFRALAB","
										Ativo                                    ","
										Rua Antonio Carlos de Barros Bruni, 211                                    ","
										Jardim Nova Manchest                                    ","
										18052017                                    ","
										Sorocaba                                    ","
										SP                                    ","
										(15) 3229.6050                                    ","
										(15) 3229.6051                                    ","TEMPERATURA E UMIDADE","
										João Carlos Ferreira dos Santos
                                    ","joao@infratemp.com.br"
843,"EngeBIO Serviços Técnicos de Engenharia LTDA","Laboratório de Metrologia da EngeBIO-NE","
										Ativo                                    ","
										Rua Padre Gabriel Mousinho, 47                                    ","
										Ilha do Retiro                                    ","
										50830010                                    ","
										Recife                                    ","
										PE                                    ","
										(81) 3038-3312                                    ","
","TEMPERATURA E UMIDADE","
										Stênio Silvério Bonifácio
                                    ","gerlab@engebio-ne.com.br"
844,"AUTOMIND Automação Industrial Ltda","AUTOMIND","
										Ativo                                    ","
										Rua do Carmo ,6/sala 507                                    ","
										Centro                                    ","
										20011020                                    ","
										Rio de Janeiro                                    ","
										RJ                                    ","
										(21) 2460.0900                                    ","
										(21) 2460.0909                                    ","TEMPERATURA E UMIDADE","
										Flavio Alves Menegasse
                                    ","comercial@automind.com.br"
845,"TÜV RHEINLAND DO BRASIL LTDA.","TUV RHEINLAND DO BRASIL LTDA.","
										Ativo                                    ","
										Rua Dona Francisca, 8.300/Bloco 03                                    ","
										Distrito Industrial                                    ","
										89219600                                    ","
										Joinville                                    ","
										SC                                    ","
										(47) 3431-1800                                    ","
										(47) 3431.1810                                    ","TEMPERATURA E UMIDADE","
										José Henrique Vieira Maia
                                    ","Jose.Maia@br.tuv.com"
846,"TQI Comércio e Serviço de Equipamentos de Medição Ltda","TQI Comércio e Serviço de Equipamentos de Medição Ltda","
										Ativo                                    ","
										Travessa Jean Jacks Wirts, 64                                    ","
										Centro                                    ","
										75020300                                    ","
										Anápolis                                    ","
										GO                                    ","
										(62) 3317.3307                                    ","
","TEMPERATURA E UMIDADE","
										Glauber de Jesus Campos
                                    ","glauber@teknopar.com.br"
847,"RGD COMÉRCIO E SERVIÇOS DE INSTRUMENTOS DE MEDIÇÃO LTDA-ME","RGD COMÉRCIO E SERVIÇOS DE INSTRUMENTOS DE MEDIÇÃO LTDA-ME","
										Ativo                                    ","
										Rua Rudolfo Kienen                                    ","
										Testo Salto                                    ","
										89074410                                    ","
										Blumenau                                    ","
										SC                                    ","
										(47) 3285.5673                                    ","
","TEMPERATURA E UMIDADE","
										Regiano Marcelo Martin
                                    ","regiano@calibracaorgd.com.br"
848,"SGS Industrial Instalações e Testes e Comissionamento Ltda.","SGS Industrial Instalações e Testes e Comissionamento Ltda.","
										Ativo                                    ","
										Rua Tancredo Neves, 102                                    ","
										São Diogo                                    ","
										29163267                                    ","
										Serra                                    ","
										ES                                    ","
										(27) 3338.3320                                    ","
										(27) 3338.3320                                    ","TEMPERATURA E UMIDADE","
										Rafael Gonçalves Ribeiro
                                    ","Rafael.ribeiro@sgs.com "
849,"Cottonil do Brasil Ltda. - EPP","Cottonil do Brasil Ltda. - EPP","
										Ativo                                    ","
										Avenida 25 de Janeiro, 48                                    ","
										Centro                                    ","
										83420000                                    ","
										Quatro Barras                                    ","
										PR                                    ","
										(41) 3672.2551                                    ","
","TEMPERATURA E UMIDADE","
										Anderson Eduardo Bezerra da Silva
                                    ","lab@cottonil.com.br"
850,"QualyTech Soluções Laboratoriais e Manutenção em Equipamentos Ltda.","QualyTech","
										Ativo                                    ","
										Av. Nelson Cardoso, 309, Salas 1013, 1014 e 1015                                    ","
										Taquara                                    ","
										22730000                                    ","
										Rio de Janeiro                                    ","
										RJ                                    ","
										(21) 3017.0495                                    ","
","TEMPERATURA E UMIDADE","
										Leandro Clemente de Carvalho
                                    ","qualytechsl@qualytechsl.com.br"
851,"SERVIÇO NACIONAL DE APRENDIZAGEM INDUSTRIAL - SENAI","LABORATÓRIO SENAI IST-PGE","
										Ativo                                    ","
										Avenida Presidente Vargas, 3.023                                    ","
										Centro                                    ","
										93260006                                    ","
										Esteio                                    ","
										RS                                    ","
										(51) 3904-2660                                    ","
","TEMPERATURA E UMIDADE","
										MISAEL BERFT MENDES
                                    ","misael.mendes@senairs.org.br"
852,"RSL CIENTIFICA COMÉRCIO DE EQUIPAMENTOS E SERVIÇOS LTDA","Laboratório de Metrologia RSL","
										Ativo                                    ","
										Rua Aleixo Wzorek, 978                                    ","
										SABIÁ                                    ","
										83708070                                    ","
										ARAUCÁRIA                                    ","
										PR                                    ","
										(41) 4114-0108                                    ","
","TEMPERATURA E UMIDADE","
										Rodoval R. Filho
                                    ","gerencia@rslcientifica.com.br"
853,"Transportadora Brasileira Gasoduto Bolívia Brasil - S/A - TBG","LABORATÓRIO DE MEDIÇÃO DO SGSC  - TBG","
										Ativo                                    ","
										Rua Papa João Paulo II, nº 04 galpão 01                                    ","
										Jardim Santa Izabel                                    ","
										13185252                                    ","
										Hortolândia                                    ","
										SP                                    ","
										(19) 3323-5970                                    ","
										(19) 3323-5970                                    ","TEMPERATURA E UMIDADE","
										Julio Cesar Costa de Mello Palhares
                                    ","sgsc@tbg.com.br"
854,"PETROLEO BRASILEIRO S A PETROBRAS","Laboratório de Calibração da Petrobras em Mossoró/RN","
										Ativo                                    ","
										Rodovia Wilson Rosado de Sá, BR 304, km 46, S/N                                    ","
										Alto Sumaré                                    ","
										59633900                                    ","
										Mossoró                                    ","
										RN                                    ","
										(84) 3323-3109                                    ","
","TEMPERATURA E UMIDADE","
										Osiel da Silva Honorato
                                    ","osiel@petrobras.com.br"
855,"MESS LAB CALIBRAÇÃO, ASSESSORIA E CONSULTORIA EIRELI","Mess Lab","
										Ativo                                    ","
										RUA Major Diogo, 275                                    ","
										Bela Vista                                    ","
										01324001                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3107.7318                                    ","
										(11) 3107.7318                                    ","TEMPERATURA E UMIDADE","
										Alan Moreira Sabio
                                    ","tecnico@messlab.com.br"
856,"Drakkar Atlantec, Engenharia Offshore Ltda","Laboratório da Drakkar Atlantec","
										Ativo                                    ","
										Rua Recanto dos Girassóis, 483, Sala 01                                    ","
										Carianos                                    ","
										88047618                                    ","
										Florianopolis                                    ","
										SC                                    ","
										(48) 3241.6231                                    ","
","TEMPERATURA E UMIDADE","
										Rodrigo Pacheco
                                    ","rodrigo@atlantec.com.br"
857,"Ambientalis Análises de Ambientes LTDA","Ambientalis Análises de Ambientes","
										Ativo                                    ","
										Rua Irmã Benwarda, 35, Sala 01                                    ","
										Centro                                    ","
										88015270                                    ","
										Florianópolis                                    ","
										SC                                    ","
										(48) 3028.3069                                    ","
","TEMPERATURA E UMIDADE","
										Rodrigo Dresch
                                    ","metrologia@ambientalis.com"
858,"Strack Consultoria E Engenharia Ltda","Laboratório de Calibração Strack","
										Ativo                                    ","
										Rua Pandiá Calógeras, 88/A                                    ","
										Cambui                                    ","
										13024170                                    ","
										Campinas                                    ","
										SP                                    ","
										(19) 3294.8998                                    ","
										(19) 3294.8998                                    ","TEMPERATURA E UMIDADE","
										DAVI REZENDE
                                    ","engenharia@strack.com.br"
859,"Akso Produtos Eletrônicos Ltda","Akso Produtos Eletrônicos Ltda","
										Ativo                                    ","
										Emílio Dexheimer                                    ","
										Jardim América                                    ","
										93032200                                    ","
										São Leopoldo                                    ","
										RS                                    ","
										(51) 3406.1711                                    ","
","TEMPERATURA E UMIDADE","
										Dilceu Kunrath Cardoso
                                    ","laboratorio@akso.com.br"
860,"REPRASERVICE Serviços e Comércio Ltda","REPRASERVICE Serviços e Comércio Ltda","
										Ativo                                    ","
										Estrada dos Bandeirantes ,759/sala 203                                    ","
										Taquara                                    ","
										22710570                                    ","
										Rio de Janeiro                                    ","
										RJ                                    ","
										(21) 2051-9297                                    ","
","TEMPERATURA E UMIDADE","
										CARLOS AUGUSTO FERREIRA JUNIOR
                                    ","metrologia@repraservice.com.br"
861,"COMGÁS - Companhia de Gás de São Paulo - Laboratório de Medição","COMGÁS - Companhia de Gás de São Paulo - Laboratório de Medição","
										Ativo                                    ","
										Rua Capitão Faustino Lima ,134                                    ","
										Brás                                    ","
										03040030                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3325.6600                                    ","
","TEMPERATURA E UMIDADE","
										Jean Weslei Amorim
                                    ","jamorim@comgas.com.br"
862,"Shimmer Inspection, Repair and Maintenance of Equipment Ltda","Shimmer laboratório de Calibração e Ensaio","
										Ativo                                    ","
										ESTRADA DOS CERAMISTAS, 2000 - KM 7-8                                    ","
										DONANA                                    ","
										28110000                                    ","
										Campos dos Goytacaze                                    ","
										RJ                                    ","
										(22) 2723.8905                                    ","
","TEMPERATURA E UMIDADE","
										Layla Manhães
                                    ","layla@shimmer.com.br"
863,"Modec Serviços de Petróleo do Brasil Ltda.","LABM - Laboratório de Medição","
										Ativo                                    ","
										Monsenhor Manoel Gomes,53                                    ","
										São Cristóvão                                    ","
										20931670                                    ","
										Rio de Janeiro                                    ","
										RJ                                    ","
										(21) 3545.8077                                    ","
","TEMPERATURA E UMIDADE","
										Allan Teixeira Verdam
                                    ","allan.verdam@modec.com"
864,"Lamesp Manutenção e Comércio de Equipamentos de Precisão Ltda.","LAMESP","
										Ativo                                    ","
										Rua Farjalla Koraicho, 46 sl01                                    ","
										Jabaquara                                    ","
										04321130                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 2507.9432                                    ","
","TEMPERATURA E UMIDADE","
										Ricardo Mendes
                                    ","ricardo@lamesp.com.br"
865,"LABORATÓRIO FEDERAL DE DEFESA AGROPECUÁRIA - MG/MAPA","LABORATÓRIO FEDERAL DE DEFESA AGROPECUÁRIA - LFDA-MG/Base Física Pedro Leopoldo","
										Ativo                                    ","
										Avenida Rômulo Joviano S/Nº                                    ","
										Centro                                    ","
										33600000                                    ","
										Pedro Leopoldo                                    ","
										MG                                    ","
										(31) 3660-9600/3660-9764                                    ","
										(31) 3660-9615                                    ","TEMPERATURA E UMIDADE","
										Nilson César Castanheira Guimarães
                                    ","nilson.cesar@agricultura.gov.br"
866,"ENGECALL SERVIÇOS INDUSTRIAIS E MANUTENÇÃO LTDA","ENGECALL","
										Ativo                                    ","
										Rua AMAMBAÍ, 336                                    ","
										Neópolis                                    ","
										59080430                                    ","
										Natal                                    ","
										RN                                    ","
										(84) 3217.3830                                    ","
","TEMPERATURA E UMIDADE","
										Alberto Kennedy de Almeida Medeiros
                                    ","alberto.kennedy@engecall-rn.com.br"
867,"Petrobras Transporte S.A.","Transpetro","
										Ativo                                    ","
										Presidente Vargas                                    ","
										Centro                                    ","
										20040001                                    ","
										Rio de Janeiro                                    ","
										RJ                                    ","
										(21) 3211.1652                                    ","
","TEMPERATURA E UMIDADE","
										Thomaz Sulocki de Carvalho
                                    ","tscarvalho@petrobras.com.br"
868,"RIZZA ELETROELETRÔNICA LTDA-EPP","Rizzalab Serviços Técnicos","
										Ativo                                    ","
										Rua SANTO ARCÁDIO ,201                                    ","
										JARDIM DAS ACÁCIAS                                    ","
										04707110                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										(11) 4475.5511                                    ","
","TEMPERATURA E UMIDADE","
										Haron Rizza
                                    ","haron@rizzalab.com.br"
869,"JOSÉ GUILHERME SCHLAPAK  ME","JGS QUALIDADE E METROLOGIA","
										Ativo                                    ","
										WINSTON CHURCHILL                                    ","
										CAPÃO RASO                                    ","
										81150050                                    ","
										CURITIBA                                    ","
										PR                                    ","
										(41) 3039.9317                                    ","
","TEMPERATURA E UMIDADE","
										José Guilherme Schlapak
                                    ","diretoria@jgsmetrologia.com.br"
870,"COOPERATIVA DE TRABALHO DE MONTAGEM E MANUTENÇÃO INDUSTRIAL","COOPERATIVA DE TRABALHO DE MONTAGEM E MANUTENÇÃO INDUSTRIAL","
										Ativo                                    ","
										Rodovia BA-512 ,s/n/VIA PARAFU                                    ","
										Polo Petroquímico                                    ","
										42810440                                    ","
										Camaçari                                    ","
										BA                                    ","
										(71) 3082.1400                                    ","
","TEMPERATURA E UMIDADE","
										José Carlos Alves de Souza
                                    ","jose.alves@elinq.com.br"
871,"Labotech Metrologia Eireli","Laboratório - 01","
										Ativo                                    ","
										Rua Francisco Pereira Campos Filho, S/N / Galpão 1                                    ","
										Santa Delmira                                    ","
										59616038                                    ","
										Mossoró                                    ","
										RN                                    ","
										(84) 3318.1331                                    ","
","TEMPERATURA E UMIDADE","
										Paula de Cavalho Caminha
                                    ","paulacaminha@labotechmetrologia.com.br"
872,"FURNAS CENTRAIS ELÉTRICAS S.A - FURNAS","Gerência de Centro Técnico de Ensaios e Suporte à Manutenção - GES.O.","
										Ativo                                    ","
										RUA CARMO DO RIO CLARO, 80                                    ","
										FURNAS                                    ","
										37945000                                    ","
										SÃO JOSÉ DA BARRA                                    ","
										MG                                    ","
										(35) 3523-5818/5817/5886                                    ","
										(35) 3523-4409                                    ","TEMPO E FREQUÊNCIA","
										RODOLFO VIEIRA DA SILVA
                                    ","rodolfos@furnas.com.br"
873,"Centro de Pesquisas de Energia Elétrica - CEPEL","Departamento de Laboratórios de Adrianópolis - DLA","
										Ativo                                    ","
										Avenida Olínda, 5.800                                    ","
										Adrianópolis                                    ","
										26053121                                    ","
										Nova Iguaçu                                    ","
										RJ                                    ","
										(21) 2598-6062                                    ","
","TEMPO E FREQUÊNCIA","
										Alberto José Salomon Junqueira
                                    ","ajsj@cepel.br"
874,"Instituto de Energia e Ambiente da Universidade de São Paulo - IEE/USP","LABORATÓRIO DE METROLOGIA","
										Ativo                                    ","
										Avenida Professor Luciano Gualberto, 1.289                                    ","
										Cidade Universitária                                    ","
										05508010                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3091-2500/2612/2507                                    ","
										(11) 3815 2423                                    ","TEMPO E FREQUÊNCIA","
										Antonio Carlos de Silos 
                                    ","calibracao@iee.usp.br"
875,"Instituto Nacional de Pesquisas Espaciais - INPE","Laboratório de Integração e Testes - LIT","
										Ativo                                    ","
										Avenida dos Astronautas, 1.758                                    ","
										Jardim da Granja                                    ","
										12227010                                    ","
										São José dos Campos                                    ","
										SP                                    ","
										(12) 3208-6318                                    ","
										(12) 3941-1884                                    ","TEMPO E FREQUÊNCIA","
										Ricardo Suterio
                                    ","metrologia@lit.inpe.br"
876,"Pontifícia Universidade Católica do Rio Grande do Sul - PUC/RS","Laboratórios Especializados em Eletro-Eletrônica - Labelo","
										Ativo                                    ","
										AV. IPIRANGA, 6681- PRÉDIO 30 - BLOCO A - SALA 210                                    ","
										PARTENON                                    ","
										90619900                                    ","
										PORTO ALEGRE                                    ","
										RS                                    ","
										(51) 3320- 3551                                    ","
										(51) 3320-3901                                    ","TEMPO E FREQUÊNCIA","
										Rodrigo Leao Mianes
                                    ","labelo@pucrs.br"
877,"SOCIEDADE EDUCACIONAL DE SANTA CATARINA - SOCIESC","UNISOCIESC LABORATÓRIO DE METROLOGIA","
										Suspensão Total  desde 18/04/2018                                    ","
										RUA ALBANO SCHMIDT, 3.333                                    ","
										BOA VISTA                                    ","
										89227700                                    ","
										JOINVILLE                                    ","
										SC                                    ","
										(47) 3461-0232                                    ","
										(47) 3461-0231                                    ","TEMPO E FREQUÊNCIA","
										Adriane Machado
                                    ","adrianem@sociesc.org.br"
878,"YOKOGAWA AMERICA DO SUL LTDA","LABORATÓRIO DE METROLOGIA YOKOGAWA","
										Ativo                                    ","
										PRAÇA ACAPULCO, 31                                    ","
										SANTO AMARO                                    ","
										04675190                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										(11) 5681-2459 / 1264                                    ","
										(11) 5681-2408                                    ","TEMPO E FREQUÊNCIA","
										Eric Hodama
                                    ","eric.hodama@br.yokogawa.com"
879,"Instituto de Pesquisas Tecnológicas do Estado de São Paulo - IPT","Laboratório de Metrologia Elétrica do Centro de Metrologia Mecânica, Elétrica e de Fluidos","
										Ativo                                    ","
										Av. Professor  Almeida Prado, 532                                    ","
										Cidade Universitária                                    ","
										05508901                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										(11) 3767-4948                                    ","
										(11) 3767-4007                                    ","TEMPO E FREQUÊNCIA","
										Tomie Yokoji 
                                    ","tomiey@ipt.br"
880,"BALITEK INSTRUMENTOS E SERVIÇOS LTDA.","BALITEK INSTRUMENTOS E SERVIÇOS LTDA.","
										Ativo                                    ","
										RUA PRÍNCIPE  HUMBERTO, 349/355                                    ","
										VILA DUZZI                                    ","
										09725200                                    ","
										S.BERNARDO DO CAMPO                                    ","
										SP                                    ","
										(11) 4121-2035                                    ","
										(11) 4121-2035                                    ","TEMPO E FREQUÊNCIA","
										PAULO RODRIGO MIYAZAKI
                                    ","tecnico@balitek.com.br"
881,"Instituto de Tecnologia para o Desenvolvimento - LACTEC","Institutos LACTEC","
										Ativo                                    ","
										BR 116, KM 98 - nº 8.813                                    ","
										Jardim das Américas                                    ","
										81531980                                    ","
										Curitiba                                    ","
										PR                                    ","
										(41) 3361-6325/6921                                    ","
										(41) 3361-6347                                    ","TEMPO E FREQUÊNCIA","
										MAURÍCIO LOURENÇO ROSA
                                    ","mauricio.rosa@lactec.org.br"
882,"Sergio Luiz Lenzi","K&L Laboratório de Metrologia Lenzi Ltda.","
										Ativo                                    ","
										Rua Sorocaba, 254                                    ","
										Floresta                                    ","
										89212210                                    ","
										Joinville                                    ","
										SC                                    ","
										(47) 3426-1712                                    ","
										(47) 3426-1712                                    ","TEMPO E FREQUÊNCIA","
										Mauro Godinho
                                    ","gerencia.tecnica@kellab.com.br."
883,"MEC-Q Comércio e Serviços de Metrologia Industrial Ltda.","Laboratório de Metrologia - MEC-Q/BA","
										Ativo                                    ","
										Avenida Jorge Amado S/N CP 78                                    ","
										Parque das Palmeiras                                    ","
										42800970                                    ","
										Camaçari                                    ","
										BA                                    ","
										(71) 3627-6141 / (11)3463-8205                                    ","
										(71) 3632-8702                                    ","TEMPO E FREQUÊNCIA","
										DOUGLAS D. S. CAMARGO
                                    ","douglas@mecq.com.br"
884,"Instituto de Tecnologia do Paraná - TECPAR","Centro de Medições e Validação - CMV","
										Ativo                                    ","
										Rua Professor Algacyr Munhoz Maeder, 3.775                                    ","
										CIC                                    ","
										81350010                                    ","
										Curitiba                                    ","
										PR                                    ","
										(41) 3316-3076/3077                                    ","
										(41) 3316-3076                                    ","TEMPO E FREQUÊNCIA","
										JOÃO LUIZ AMAZONAS PIMPÃO
                                    ","joaoluiz@tecpar.br"
885,"Centro Tecnológico de Metrologia Comércio de Instrumentos e Serviços Ltda. - CTM","Laboratório de Metrologia","
										Ativo                                    ","
										Rua Luiz José Junqueira Freire, 375                                    ","
										Freguesia do Ó                                    ","
										02864000                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3851-9001                                    ","
										(11) 3851-4709                                    ","TEMPO E FREQUÊNCIA","
										André Teruya Muchon
                                    ","andreteruya@calibracao.com.br"
886,"SIGTRON INSTRUMENTOS E SERVIÇOS LTDA.","LABORATÓRIO DE METROLOGIA","
										Ativo                                    ","
										AV. SANTA CATARINA, 640                                    ","
										VILA Alexandria                                    ","
										04635001                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										(11) 5031-7359 / 6379                                    ","
										(11) 5031-8867                                    ","TEMPO E FREQUÊNCIA","
										EDUARDO STRAFACCI
                                    ","eduardo@sigtron.com.br"
887,"Calibratec - Comércio e Assistência Técnica de Instrumentos de Medição Ltda.","Laboratório de Metrologia","
										Ativo                                    ","
										Rua Tenente Pena, 73                                    ","
										Bom Retiro                                    ","
										01127020                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3133-0700                                    ","
										(11) 3338-2595                                    ","TEMPO E FREQUÊNCIA","
										Robson Resende
                                    ","tecnico@calibratec.com.br"
888,"FUNDAÇÃO CPQD - CENTRO DE PESQUISA E DESENVOLVIMENTO EM TELECOMUNICAÇÕES","LABORATÓRIO DE CALIBRAÇÃO","
										Ativo                                    ","
										Rua Dr. Ricardo Benetton Martins, 1.000 Parque II                                    ","
										Polo Alta Tecnologia                                    ","
										13086902                                    ","
										F Pau D´alho Campina                                    ","
										SP                                    ","
										19-37054190/7132/6010( COMERC)                                    ","
										(19) 3705-6120                                    ","TEMPO E FREQUÊNCIA","
										ELISABETE APARECIDA GENEROSO ZAGO
                                    ","betecida@cpqd.com.br"
889,"Visomes Comercial Metrológica Ltda.","Visomes Metrologia","
										Ativo                                    ","
										Rua Joaquim dos Santos, 181                                    ","
										RIO BONITO                                    ","
										04823080                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 5662 9911                                    ","
										(11) 5666 9816                                    ","TEMPO E FREQUÊNCIA","
										RODOVAL RAIMUNDO FILHO
                                    ","rodoval@visomes.com.br"
890,"PRESERTEC SERVIÇOS DE CALIBRAÇÃO LTDA.","LABORATÓRIO PRESERTEC","
										Ativo                                    ","
										AV. GASTÃO VIDIGAL NETO, 220                                    ","
										CIDADE NOVA                                    ","
										12414020                                    ","
										PINDAMONHANGABA                                    ","
										SP                                    ","
										(12) 3642-8205                                    ","
										(12) 3642-8205                                    ","TEMPO E FREQUÊNCIA","
										Dilton Siqueira Junior 
                                    ","diltonjr@presertec.com.br"
891,"MEC-Q Comércio e Serviços de Metrologia Industrial Ltda.","Laboratório MEC-Q - Unidade SP","
										Ativo                                    ","
										Rua Francisco Bonilha, 19                                    ","
										Vila Príncipe de Gal                                    ","
										09060550                                    ","
										Santo André                                    ","
										SP                                    ","
										(11) 3463-8211                                    ","
										(11) 3463-8224                                    ","TEMPO E FREQUÊNCIA","
										Douglas Dagoberto Soares de Camargo
                                    ","douglas@mecq.com.br"
892,"Metrologia 9000 Ltda.","Laboratório de Metrologia","
										Ativo                                    ","
										Rua Turquesa, 80                                    ","
										Jardim São José                                    ","
										12216350                                    ","
										São José dos Campos                                    ","
										SP                                    ","
										(12) 3941-7732                                    ","
										(12) 3941-7732                                    ","TEMPO E FREQUÊNCIA","
										CARLOS HENRIQUE ESCOLÁSTICO BRANCO DA CUNHA
                                    ","mtr9000@uol.com.br"
893,"Aferitec Comprovações Metrológicas e Comércio Ltda.","Aferitec Comprovações Metrológicas e Comércio Ltda.","
										Ativo                                    ","
										Rua Cesar Ladeira, 183                                    ","
										Chácara Floresta                                    ","
										13424385                                    ","
										Piracicaba                                    ","
										SP                                    ","
										(19) 3422-0215 / 2533-5516                                    ","
										(19) 3432 -2840                                    ","TEMPO E FREQUÊNCIA","
										Wanderson Henrique Stoco
                                    ","wanderson@aferitec.com.br"
894,"SETTING COMÉRCIO, INDUSTRIALIZAÇÃO E SERVIÇOS DE CALIBRAÇÕES E ENSAIOS LTDA - EPP","SETTING CALIBRAÇÃO E ENSAIOS","
										Ativo                                    ","
										Rua Rei Alberto da Bélgica, 187                                    ","
										Vila Guarani                                    ","
										03381000                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3572-0450 / 2916-0493                                    ","
										(11) 3572-0452                                    ","TEMPO E FREQUÊNCIA","
										Tatiana Macedo Ramos Pina
                                    ","pep@setting.net.br"
895,"Microprecs - Euros Comércio de Instrumento de Precisão Ltda. - ME","Laboratório de Calibração","
										Suspensão Total  desde 26/03/2019                                    ","
										Rua Dutra Rodrigues, 149                                    ","
										Bairro da Luz                                    ","
										01105010                                    ","
										São Paulo                                    ","
										SP                                    ","
										11 2478-4890                                    ","
										(11) 3328-1100                                    ","TEMPO E FREQUÊNCIA","
										Eurípedes Eliodoro de Oliveira
                                    ","euripedes@microprecs.com.br"
896,"GERO COMÉRCIO E SERVIÇOS LTDA","GERO COMÉRCIO E SERVIÇOS LTDA","
										Ativo                                    ","
										AV. ANTÔNIO BETTINI, 333                                    ","
										PARQUE EMPRESARIAL                                    ","
										18520000                                    ","
										CERQUILHO                                    ","
										SP                                    ","
										(15) 3384-3000                                    ","
										(O15) 3384-3000                                    ","TEMPO E FREQUÊNCIA","
										Douglas Mayoral
                                    ","douglas@gero.com.br"
897,"EXCEL SERVIÇOS EM METROLOGIA LTDA.","LABORATÓRIO EXCELMETRO","
										Ativo                                    ","
										AV. CELINA FERREIRA OTTONI, 5205                                    ","
										PADRE VICTOR                                    ","
										37048395                                    ","
										VARGINHA                                    ","
										MG                                    ","
										(35) 2106 2700                                    ","
										(35) 2106 2724                                    ","TEMPO E FREQUÊNCIA","
										Valério Lucas Gonçalves
                                    ","comercial@excelmetro.com.br"
898,"VWC Equipamentos de Instrumentação e Comércio Ltda.","VWC Equipamentos de Instrumentação e Comércio Ltda.","
										Ativo                                    ","
										Avenida Príncipe de Gales, 575                                    ","
										Vila Príncipe de Gal                                    ","
										09060650                                    ","
										Santo André                                    ","
										SP                                    ","
										11 4432-1000                                    ","
										11 4432-1000                                    ","TEMPO E FREQUÊNCIA","
										Igor Rodrigues Assumpção
                                    ","laboratoriosp@vwc.com.br"
899,"Socintec Instrumentos de Medição Ltda.","Laboratório Socintec","
										Ativo                                    ","
										Rua General Lecor, 991                                    ","
										Ipiranga                                    ","
										04213021                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 2914-4448                                    ","
										(11) 2274-2424                                    ","TEMPO E FREQUÊNCIA","
										Nildo Augusto Gonçalves de Souza
                                    ","nildo@socintec.com.br"
